symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2025-07-16,257.4,257.4,264,256.05,263,262.8,261.25,12179338,84066
WIPRO,2025-07-15,254.25,254,259.85,252.8,257.5,257.4,257.01,8750149,83644
WIPRO,2025-07-14,258.3,258.3,259.55,251.65,254.25,254.25,254.15,10388421,111556
WIPRO,2025-07-11,265.05,261,262.05,257.75,258.1,258.3,259.37,13109857,106302
WIPRO,2025-07-10,267.8,267.55,267.55,263.15,265.1,265.05,264.86,6911031,70245
WIPRO,2025-07-09,269.65,268,269.4,264.85,267.3,267.8,267.25,11564433,82512
WIPRO,2025-07-08,267.75,267.8,270.3,267.35,269.75,269.65,268.99,5519016,61212
WIPRO,2025-07-07,270.05,270.05,270.55,267.3,267.8,267.75,268.32,4849218,45796
WIPRO,2025-07-04,267.05,268.3,271.4,267.5,269.45,270.05,269.17,7141779,56595
WIPRO,2025-07-03,267,268.4,270.85,266.45,267.2,267.05,268.73,9357962,116740
WIPRO,2025-07-02,264.55,265,268.7,264.45,267.15,267,266.51,8750887,77570
WIPRO,2025-07-01,265.98,265.5,268.35,263.7,264.3,264.55,265.29,3886095,58198
WIPRO,2025-06-30,265.05,266.1,266.74,262.9,266.49,265.98,265.01,7119563,101877
WIPRO,2025-06-27,268.52,269,270,264.5,265.4,265.05,266.2,8906108,112283
WIPRO,2025-06-26,269.41,269.1,271.3,267.19,268,268.52,269.25,8564099,87330
WIPRO,2025-06-25,264.97,265.9,269.96,265.85,269.15,269.41,268.53,5331739,72178
WIPRO,2025-06-24,263.24,265.5,268.65,264.71,264.89,264.97,266.88,6319428,70987
WIPRO,2025-06-23,266.54,264,265.2,261.81,263.5,263.24,263.33,6214062,64958
WIPRO,2025-06-20,265.58,266,267.2,262.87,265.8,266.54,266.19,12904674,76477
WIPRO,2025-06-19,261.59,262.85,266.44,261.81,265,265.58,264.52,14184486,145765
WIPRO,2025-06-18,262.91,262.9,265.6,261.03,261.85,261.59,262.72,5016660,56803
