symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
M&M,2025-05-15,3101.80,3085.00,3170.70,3073.00,3132.00,3144.30,3127.25,3590003,198690
M&M,2025-05-14,3053.80,3037.50,3110.00,3018.00,3103.10,3101.80,3092.44,2236302,98515
M&M,2025-05-13,3104.70,3050.00,3111.00,3035.00,3058.00,3053.80,3073.02,2681662,178009
M&M,2025-05-12,2982.10,3044.70,3112.20,3033.70,3097.50,3104.70,3067.99,2166730,157748
M&M,2025-05-09,3033.10,2961.60,3057.10,2955.00,2989.70,2982.10,3009.04,2308852,127115
M&M,2025-05-08,3119.90,3127.40,3137.00,3008.50,3009.00,3033.10,3058.10,3323894,155291
M&M,2025-05-07,3068.40,3021.90,3125.00,3021.90,3109.90,3119.90,3098.08,2942902,140228
M&M,2025-05-06,3021.50,3150.60,3159.70,3056.00,3058.40,3068.40,3097.22,5683215,266730
M&M,2025-05-05,2926.20,2948.90,3044.00,2937.70,3024.00,3021.50,2995.56,4049197,198957
M&M,2025-05-02,2928.80,2950.00,3000.00,2910.20,2918.60,2926.20,2953.27,3384402,142813
M&M,2025-04-30,2909.60,2908.80,2948.90,2887.00,2919.50,2928.80,2927.07,2689753,115500
M&M,2025-04-29,2930.60,2950.00,2969.50,2901.80,2905.80,2909.60,2920.47,2051228,110088
M&M,2025-04-28,2864.20,2918.90,2945.00,2882.30,2930.00,2930.60,2911.69,1864672,105189
M&M,2025-04-25,2901.40,2901.40,2939.60,2831.10,2865.00,2864.20,2872.73,2299310,107647
M&M,2025-04-24,2917.80,2917.80,2928.00,2865.00,2898.00,2901.40,2893.16,2488496,107895
M&M,2025-04-23,2817.10,2830.00,2923.00,2826.00,2900.90,2917.80,2890.96,3906215,153835
M&M,2025-04-22,2764.00,2765.00,2822.00,2756.00,2811.10,2817.10,2800.01,3193757,166491
M&M,2025-04-21,2679.40,2699.90,2774.00,2665.90,2765.00,2764.00,2742.15,3120955,129375
M&M,2025-04-17,2634.60,2632.00,2682.80,2602.40,2675.30,2679.40,2653.58,2638979,174058
M&M,2025-04-16,2646.00,2660.00,2665.00,2618.30,2632.20,2634.60,2636.04,3070954,230796
M&M,2025-04-15,2580.35,2606.00,2690.00,2606.00,2650.00,2646.00,2661.82,3287861,235293
M&M,2025-04-11,2523.10,2549.00,2604.00,2532.05,2600.60,2580.35,2575.14,3600209,226713
M&M,2025-04-09,2523.65,2540.00,2571.95,2515.95,2530.50,2523.10,2542.52,3347213,188585
M&M,2025-04-08,2491.25,2510.00,2550.00,2454.00,2524.85,2523.65,2508.62,4253527,227666
M&M,2025-04-07,2596.55,2425.00,2524.65,2425.00,2508.00,2491.25,2486.05,3937471,284875
M&M,2025-04-04,2611.45,2614.95,2631.50,2557.05,2601.40,2596.55,2598.52,3598415,181164
M&M,2025-04-03,2637.55,2607.75,2652.40,2600.25,2617.00,2611.45,2624.91,2361203,126111
M&M,2025-04-02,2637.90,2631.10,2660.00,2625.30,2637.95,2637.55,2641.07,2243574,129253
M&M,2025-04-01,2665.80,2652.80,2728.00,2623.15,2640.00,2637.90,2662.50,3300417,171785
